analysis             sr                         o          b          db                  s                     ds                    s95obs    s95exp    robscons                rexpcons                
atlas_1803_02762     S-2lj-SR2-low              11.0       4.2        2.657066051117284   0                     0.0                   14.8      11.0      0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-0Ja                21.0       21.7       2.9                 0                     0.0                   11.2      11.5      0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-0Jb                1.0        2.7        0.5                 0                     0.0                   3.5       4.9       0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-1Ja                1.0        2.2        0.5                 0                     0.0                   3.5       4.5       0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-1Jb                3.0        1.8        0.3                 0                     0.0                   5.4       4.1       0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-1Jc                4.0        1.3        0.3                 0                     0.0                   7.2       3.8       0.0                     0.0                     
atlas_1803_02762     S-3l-WZ-OJc                2.0        1.6        0.3                 0                     0.0                   4.5       3.8       0.0                     0.0                     
atlas_1803_02762     S-3l-slep-a                4.0        2.2        0.8                 0                     0.0                   6.8       5.1       0.0                     0.0                     
atlas_1803_02762     S-3l-slep-b                3.0        2.8        0.4                 0                     0.0                   5.1       5.0       0.0                     0.0                     
atlas_1803_02762     S-3l-slep-c                9.0        5.4        0.8999999999999999  0                     0.0                   10.1      6.5       0.0                     0.0                     
atlas_1803_02762     S-3l-slep-d                0.0        1.4        0.4                 0                     0.0                   3.0       4.2       0.0                     0.0                     
atlas_1803_02762     S-3l-slep-e                0.0        1.1        0.2                 0                     0.0                   3.1       3.8       0.0                     0.0                     
atlas_1807_07447     10j                        32.0       33.0       4.4                 0                     0.0                   14.0      15.0      0.0                     0.0                     
atlas_1807_07447     11j                        3.0        7.7        6.2                 0                     0.0                   5.2       6.7       0.0                     0.0                     
atlas_1807_07447     12j                        1.0        0.3        3.5                 0                     0.0                   4.5       4.4       0.0                     0.0                     
atlas_1807_07447     131b8j                     3.0        1.3        0.4                 0                     0.0                   6.1       3.9       0.0                     0.0                     
atlas_1807_07447     13j                        0.0        0.4        0.9                 0                     0.0                   3.0       3.1       0.0                     0.0                     
atlas_1807_07447     14j                        0.0        0.3        0.6                 0                     0.0                   3.0       2.8       0.0                     0.0                     
atlas_1807_07447     1b10j                      2.0        3.0        2.6                 0                     0.0                   5.0       5.0       0.0                     0.0                     
atlas_1807_07447     1b11j                      0.0        0.1        2.0                 0                     0.0                   3.0       3.0       0.0                     0.0                     
atlas_1807_07447     1b1j                       36353.0    35000.0    6000.0              0.009463345631052557  0.009463346244969117  10791.0   10243.0   0                       0                       
atlas_1807_07447     1b2j                       51112.0    51100.0    6700.0              0.025179603116256683  0.014556421518737095  11371.0   11446.0   1.1494783444972715e-07  1.1419463791087257e-07  
atlas_1807_07447     1b3j                       34169.0    34169.0    4500.0              0.05592342637499801   0.022837047292726457  7616.0    7616.0    2.4252453801111637e-06  2.4252453801111637e-06  
atlas_1807_07447     1b4j                       15271.0    15750.0    2000.0              0.0807347096095159    0.026953335988946663  3045.0    3292.0    1.199712268888124e-05   1.1096974054569675e-05  
atlas_1807_07447     1b5j                       5327.0     5327.0     890.0               0.018535176624901492  0.013112523183709882  1460.0    1460.0    0                       0                       
atlas_1807_07447     1b6j                       1450.0     1500.0     250.0               0                     0.0                   382.0     405.0     0.0                     0.0                     
atlas_1807_07447     1b7j                       349.0      338.0      95.0                0                     0.0                   155.0     150.0     0.0                     0.0                     
atlas_1807_07447     1b8j                       81.0       81.0       20.0                0                     0.0                   37.0      37.0      0.0                     0.0                     
atlas_1807_07447     1b9j                       17.0       16.8       5.4                 0                     0.0                   13.1      13.1      0.0                     0.0                     
atlas_1807_07447     1e1b4j                     1160.0     1190.0     230.0               0                     0.0                   355.0     368.0     0.0                     0.0                     
atlas_1807_07447     1e1b5j                     225.0      208.0      28.0                0                     0.0                   72.0      59.0      0.0                     0.0                     
atlas_1807_07447     1e1b6j                     38.0       43.0       6.0                 0                     0.0                   14.0      17.0      0.0                     0.0                     
atlas_1807_07447     1e1b7j                     11.0       6.9        4.0                 0                     0.0                   13.6      11.2      0.0                     0.0                     
atlas_1807_07447     1e1b9j                     0.0        0.16       0.13                0                     0.0                   2.9       2.88      0.0                     0.0                     
atlas_1807_07447     1e1g                       133.0      96.0       20.0                0                     0.0                   72.0      49.0      0.0                     0.0                     
atlas_1807_07447     1e1g1b                     8.0        11.9       2.0                 0                     0.0                   6.2       8.7       0.0                     0.0                     
atlas_1807_07447     1e1g1b1j                   16.0       13.8       2.6                 0                     0.0                   11.9      10.3      0.0                     0.0                     
atlas_1807_07447     1e1g1b2j                   44.0       35.0       9.0                 0                     0.0                   28.0      22.0      0.0                     0.0                     
atlas_1807_07447     1e1g1b3j                   16.0       12.1       3.1                 0                     0.0                   13.4      10.8      0.0                     0.0                     
atlas_1807_07447     1e1g1b4j                   3.0        3.5        0.9                 0                     0.0                   4.9       5.3       0.0                     0.0                     
atlas_1807_07447     1e1g1b5j                   1.0        0.8        0.3                 0                     0.0                   3.7       3.2       0.0                     0.0                     
atlas_1807_07447     1e1g1j                     177.0      146.0      27.0                0                     0.0                   77.0      58.0      0.0                     0.0                     
atlas_1807_07447     1e1g2b                     2.0        3.0        1.0                 0                     0.0                   4.0       5.0       0.0                     0.0                     
atlas_1807_07447     1e1g2b1j                   15.0       16.7       4.3                 0                     0.0                   10.5      11.4      0.0                     0.0                     
atlas_1807_07447     1e1g2b2j                   11.0       7.8        2.6                 0                     0.0                   11.4      9.2       0.0                     0.0                     
atlas_1807_07447     1e1g2b3j                   3.0        2.7        0.8                 0                     0.0                   5.4       5.3       0.0                     0.0                     
atlas_1807_07447     1e1g2b4j                   1.0        0.5        0.2                 0                     0.0                   3.7       3.1       0.0                     0.0                     
atlas_1807_07447     1e1g2b5j                   0.0        0.1        0.05                0                     0.0                   3.0       2.9       0.0                     0.0                     
atlas_1807_07447     1e1g2j                     77.0       62.0       12.0                0                     0.0                   40.0      30.0      0.0                     0.0                     
atlas_1807_07447     1e1g3b                     2.0        0.7        0.3                 0                     0.0                   5.0       3.4       0.0                     0.0                     
atlas_1807_07447     1e1g3b1j                   1.0        0.7        0.2                 0                     0.0                   3.6       3.0       0.0                     0.0                     
atlas_1807_07447     1e1g3b2j                   0.0        0.3        0.12                0                     0.0                   3.0       2.9       0.0                     0.0                     
atlas_1807_07447     1e1g3b3j                   0.0        0.14       0.07                0                     0.0                   2.94      2.95      0.0                     0.0                     
atlas_1807_07447     1e1g3j                     68.0       65.0       12.0                0                     0.0                   29.0      28.0      0.0                     0.0                     
atlas_1807_07447     1e1g4j                     18.0       15.2       3.2                 0                     0.0                   13.2      10.9      0.0                     0.0                     
