SR           obs     bkg     bkg_err  S95_obs  S95_exp  
MET1m1b2j    115     100     24       56       48       
MET1m1b3j    65      44      8        40       23       
MET1m1b4j    15      11.8    2.5      12.3     9.8      
MET1m1b5j    5       2.9     1        7.5      5.7      
MET1m1b6j    0       0.5     0.8      3.2      3.2      
MET1m1b7j    0       0.14    0.43     2.98     2.94     
MET1m2b      17      17.4    4.6      12.2     12.3     
MET1m2b1j    20      16      6        17       15       
MET1m2b2j    21      18      4.4      15       13       
MET1m2b3j    4       7       1.4      5        7        
MET1m2b4j    3       2.2     0.4      5.2      4.6      
MET1m2b5j    1       0.44    0.3      3.55     2.99     
MET1m2b6j    0       0.1     0.06     2.9      2.9      
MET1m3b      2       0.56    0.3      5.24     3.39     
MET1m3b1j    3       1.7     0.8      5.9      4.7      
MET1m3b2j    1       1       0.4      4        4        
MET1m3b3j    0       0.47    0.23     3.0      2.93     
MET1m3b4j    0       0.11    0.16     2.89     2.91     
MET1m1g      4       3.5     0.8      6.1      5.5      
MET1m1g1j    9       10      2.6      8        9        
MET1m1g2j    5       5       1        6        6        
MET1m1g3j    3       1       0.2      6        4        
MET1m1g4j    0       0.22    0.08     2.94     2.94     
MET1m1g5j    0       0.11    0.1      2.95     2.87     
MET1m1g1b    1       0.76    0.3      3.65     3.14     
MET1m1g1b1j  2       1.2     0.3      4.6      4.0      
MET1m1g1b2j  0       0.5     0.15     2.9      2.9      
MET1m1g1b3j  0       0.13    0.06     2.95     2.95     
MET1m1e      7       5.2     1.4      8.2      6.7      
MET1m1e1j    36      27      2.8      21       13       
MET1m1e2j    12      12.2    2.2      9.2      9.4      
MET1m1e3j    6       3.1     0.7      8.3      5.4      
MET1m1e4j    1       1       0.2      4        4        
MET1m1e5j    0       0.17    0.17     2.96     2.91     
MET1m1e1b    9       13.3    2.7      6.6      9.1      
MET1m1e1b1j  11      9.7     1.6      9.4      8.3      
MET1m1e1b2j  2       3       1.6      5        5        
MET1m1e1b3j  0       1.4     2.2      2.9      3.2      
MET1m1e1b4j  0       0.38    0.3      3.04     2.86     
MET1m1e2b    0       1.4     1        3.0      3.6      
MET1m1e2b1j  0       0.86    0.46     3.14     3.03     
MET1m1e2b2j  0       0.58    0.24     2.99     2.93     
MET1m1e2b3j  1       0.23    0.09     3.79     3.09     
MET1m1e2b4j  0       0.1     0.1      3.0      2.8      
MET1m1e1g    1       0.15    0.04     3.93     3.01     
MET1m1e1g1j  0       0.15    0.06     2.95     2.9      
MET1m1e1g1b  0       0.12    0.05     2.93     2.91     
MET1m2e      0       0.35    0.11     2.95     2.94     
MET1m2e1j    0       0.28    0.08     2.92     2.92     
MET1m2e2j    0       0.19    0.04     2.93     2.94     
MET2m        0       1.3     0.4      2.9      3.9      
MET2m1j      17      16      5        13       13       
MET2m2j      6       7.2     1.7      6.1      7.3      
MET2m3j      1       1.8     1        3.7      4.4      
MET2m4j      0       0.46    0.3      3.03     2.9      
MET2m5j      1       0.12    0.11     3.95     3.01     
MET2m1b      5       8.3     2        5.2      7.6      
MET2m1b1j    10      5.9     1.4      11.3     7.1      
MET2m1b2j    2       1.7     0.4      4.5      4.0      
MET2m1b3j    0       0.76    0.25     2.95     2.95     
MET2m1b4j    0       0.14    0.1      2.91     2.9      
MET2m2b      1       0.8     0.7      3.7      3.6      
MET2m2b1j    0       0.44    0.6      3.08     2.94     
MET2m2b2j    0       0.4     0.4      3.1      2.8      
MET2m2b3j    0       0.18    0.12     2.95     2.91     
MET2m1e      1       0.17    0.04     3.9      2.99     
MET2m1e1j    1       0.3     0.2      3.8      3.0      
MET2m1e2j    1       0.15    0.06     3.91     2.96     
MET3m1j      0       0.37    0.17     2.97     2.88     
MET3m2j      0       0.17    0.07     2.86     2.93     
MET1j        18952   18500   3200     5551     5525     
